Journal Title,Rating,Publisher,ISSN,ISSN Online,FoR,Year Inception
Australian Journal of International Affairs,B,Taylor & Francis Online,1035-7718,1465-332X,3599,1947
Australian Journal of Labour Economics: a journal of labour economics and labour relations,B,Centre for Labour Market Research,1328-1143,,3801,1989
Australian Journal of Labour Law,B,LexisNexis,1030-7222,,4801,1988
Australian Journal of Management,B,Sage Publications,0312-8962,1327-2020,3502,1976
Australian Journal of Political Science,B,Taylor & Francis Online,1036-1146,1363-030X,3599,1956
Australian Journal of Psychology,B,Wiley-Blackwell Publishing,0004-9530,1742-9536,3507,1949
Australian Journal of Public Administration,B,Wiley-Blackwell Publishing,0313-6647,1467-8500,3599,1937
Australian Journal of Social Issues,B,Wiley-Blackwell Publishing,0157-6321,0004-9557,3507,1961
Australian Law Journal,B,Thomson Reuters,0004-9611,,4801,1927
Australian Property Law Journal,B,University of Western Australia,1038-5959,,4801,1993
Australian Psychologist,B,Wiley-Blackwell Publishing,0005-0067,1742-9544,3507,1966
Australian Review of Public Affairs,B,The University of Sydney,1832-1526,,3599,2000
Australian Tax Forum,B,Tax Institute,0812-695X,,4801,1984
Australian Tax Law Bulletin,B,LexisNexis,2203-9481,,4801,2014
Australian Tax Review,B,Thomson Reuters,0311-094X,,4801,1971
Austrian Economic Quarterly,B,Austrian Institute of Economic Research,1025-6954,1605-4709,3899,1996
Automation in Construction,B,Elsevier,0926-5805,1872-7891,3504,1992
Baltic Journal of Economics,B,Taylor & Francis Online,1406-099X,2334-4385,3801,2000
Baltic Journal of Management,B,Emerald Group Publishing,1746-5265,1746-5273,3507,2006
Bank Parikrama: A Journal of Banking and Finance,B,Bangladesh Institute of Bank Management,1019-7044,,3502,
Banking and Finance Law Review,B,HAB Press Limited,0832-8722,,4801,1986
Banking Law Journal,B,LexisNexis,0005-5506,,4801,1989
Banks and Bank Systems,B,Business Perspectives Ltd,1816-7403,1991-7074‎,3502,2006
Basic and Applied Social Psychology,B,Taylor & Francis Online,0197-3533,1532-4834,3507,1980
Basic Income Studies,B,De Gruyter,2194-6094,1932-0183,3801,2006
Bayesian Analysis,B,International Society for Bayesian Analysis,1936-0975,1931-6690,4905,2006
Behavioral Research in Accounting,B,American Accounting Association,1050-4753,1558-8009,3501,1989
Behaviour and Information Technology,B,Taylor & Francis Online,0144-929X,1362-3001,4609,1982
Benchmarking: an international journal,B,Emerald Group Publishing,1463-5771,1758-4094,3507,1994
Berkeley Business Law Journal,B,University of California Berkeley School of Law,1548-7067,,4801,2004
Berkeley Technology Law Journal,B,University of California Berkeley School of Law,1086-3818,,4801,1986
Bernoulli,B,Bernoulli Society for Mathematical Statistics and Probability,1350-7265,1573-9759,4905,1995
BFuP - Betriebswirtschaftliche Forschung und Praxis,B,NWB Verlag GmbH & Co. KG,0340-5370,,3801,1949
Bio-based and Applied Economics Journal,B,Firenze University Press,2280-6180,2280-6172,3899,2012
Bioinformatics,B,Oxford University Press,1367-4803,1460-2059,4905,1998
Biometrical Journal,B,Wiley-Blackwell Publishing,0323-3847,1521-4036,4905,1977
Biometrika,B,Oxford University Press,0006-3444,1464-3510,4905,1901
Biostatistics,B,Oxford University Press,1465-4644,1468-4357,4905,2000
BMC Medical Informatics and Decision Making,B,BioMed Central Ltd,1472-6947,,4609,2001
Bond Law Review,B,Bond Faculty of Law Review Editorial Committee,1033-4505,,4801,1989
Boston University Law Review,B,Boston University School of Law,0006-8047,,4801,1921
Brazilian Electronic Journal of Economics,B,"Universidade Federal de Pernambuco, Department of Economics",1516-4373,,3801,1997
Brazilian Journal of Business Economics,B,Universidade Catolica de Brasilia,1676-8000,2236-9775,3801,2001
Brazilian Journal of Rural Economy and Sociology,B,"Brazilian Society of Rural Economics, Management and Sociology",0103-2003,1806-9479,3899,1963
Briefing Notes in Economics,B,Parvis Dabir-Alai,0968-7017,,3803,1992
Briefings in Real Estate Finance,B,Wiley-Blackwell Publishing,1473-1894,1555-0990,3504,2001
British Accounting Review,B,Elsevier,0890-8389,1095-8347,3501,1968
British Actuarial Journal,B,Cambridge University Press,1357-3217,2044-0456,3502,1998
British Food Journal,B,Emerald Group Publishing,0007-070X,1758-4108,3506,1899
British Journal of Educational Technology,B,Wiley-Blackwell Publishing,0007-1013,1467-8535,4609,1970
British Journal of Health Care Management,B,Mark Allen Group,1358-0574,1759-7382,3507,1995
British Journal of Industrial Relations,B,Wiley-Blackwell Publishing,0007-1080,1467-8543,3505,1963
British Journal of Management,B,Wiley-Blackwell Publishing,1045-3172,1467-8551,3507,1990
British Journal of Mathematical and Statistical Psychology,B,Wiley-Blackwell Publishing,0007-1102,2044-8317,4905,1947
