Journal Title,Rating,Publisher,ISSN,ISSN Online,FoR,Year Inception
British Journal of Political Science,B,Cambridge University Press,0007-1234,1469-2112,3599,1971
British Journal of Psychology,B,Wiley-Blackwell Publishing,0007-1269,2044-8295,3507,1904
British Journal of Social Psychology,B,Wiley-Blackwell Publishing,0144-6665,2044-8309,3507,1962
British Journal of Sociology,B,Wiley-Blackwell Publishing,0007-1315,1468-4446,3507,1950
British Tax Review,B,Sweet & Maxwell,0007-1870,,4801,1956
Brookings Papers on Economic Activity,B,Brookings Institutions,0007-2303,1533-4465,3801,1970
Brussels Economic Review,B,Universite libre de Bruxelles,0008-0195,,3801,1958
Building Research and Information,B,Taylor & Francis Online,0961-3218,1466-4321,3599,1970
Built Environment Project and Asset Management,B,Emerald Group Publishing,2044-124X,2044-1258,3599,2011
Bulletin for International Taxation,B,International Bureau of Fiscal Documentation,1819-5490,2352-9202,4801,1946
Bulletin of Applied Economics,B,Risk Market Journals,2056-3728,2056-3736,3801,2014
Bulletin of Comparative Labour Relations,B,Wolters Kluwer,0770-3724,,3505,1975
Bulletin of Economic Research,B,Wiley-Blackwell Publishing,0307-3378,1467-8586,3801,1948
Bulletin of Indonesian Economic Studies,B,Taylor & Francis Online,0007-4918,1472-7234,3801,1965
Bulletin of Monetary Economics and Banking,B,Bank Indonesia,1410-8046,2460-9196,3502,1998
Bulletin of the Czech Econometric Society,B,The Czech Econometric Society,1212-074X,,3802,1994
Business & Information Systems Engineering,B,Springer International Publishing,2363-7005,1867-0202,4609,2009
Business and Economics Research Journal,B,Adem Anbar,1309-2448,,3801,2010
Business and Human Rights Journal,B,Cambridge University Press,2057-0198,2057-0201,4801,2016
Business and Politics,B,Cambridge University Press,1369-5258,1469-3569,3505,1999
Business and Professional Ethics Journal,B,"Institute for Business and Professional Ethics, DePaul University",0277-2027,2153-7828,3507,1981
Business and Society,B,Sage Publications,0007-6503,1552-4205,3507,1960
Business and Society Review,B,Wiley-Blackwell Publishing,0045-3609,1467-8594,3507,1900
Business and Professional Communication Quarterly,B,Sage Publications,2329-4906,2329-4922,3507,1935
Business Economics,B,Springer International Publishing,0007-666X,1554-432X,3801,1965
Business Ethics Quarterly,B,Cambridge University Press,1052-150X,2153-3326,3507,1991
Business Ethics: A European review,B,Wiley-Blackwell Publishing,0962-8770,1467-8608,3507,1992
Business History,B,Taylor & Francis Online,0007-6791,1743-7938,3505,1958
Business History Review,B,Cambridge University Press,0007-6805,2044-768X,3505,1926
Business Horizons,B,Elsevier,0007-6813,1873-6068,3507,1957
Business Intelligence Journal,B,Data Warehousing Institute,1547-2825,1944-9615,4609,2003
Business Law Review,B,Husson University,1533-7421,,4801,1968
Business Law Today,B,American Bar Association,1059-9436,,4801,1980
Business Perspectives and Research,B,Sage Publications,2394-9937,2278-5337,3507,2012
Business Process Management Journal,B,Emerald Group Publishing,1463-7154,1758-4116,4609,1995
Business Research Quarterly,B,Asociacion Cientifica de Economia y Direccion de la Empresa,2340-9436,,3507,2014
Business Strategy and the Environment,B,Wiley-Blackwell Publishing,0964-4733,1099-0836,3507,1992
Business Strategy Review,B,Wiley-Blackwell Publishing,0955-6419,1467-8616,3507,1990
Cadernos de Pos-Graduacao em Direito Politico e Economico,B,,1678-2127,,3801,2001
California Management Review,B,Sage Publications,0008-1256,2162-8564,3507,1958
Cambridge Journal of Economics,B,Oxford University Press,0309-166X,1464-3545,3801,1977
"Cambridge Journal of Regions, Economy and Society",B,Oxford University Press,1752-1378,1752-1386,3801,2008
Cambridge Law Journal,B,Cambridge University Press,0008-1973,1469-2139,4801,1921
Canadian Bar Review,B,Canadian Bar Association,0008-3003,,4801,1923
Canadian Business Law Journal,B,Canada Law Book,0319-3322,,4801,1976
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l Administration,B,Wiley-Blackwell Publishing,0825-0383,1936-4490,3507,1984
Canadian Journal of Agricultural Economics / Revue Canadienne d Agroeconomie,B,Wiley-Blackwell Publishing,0008-3976,1744-7976,3801,1952
Canadian Journal of Development Studies / Revue canadienne d'etudes du developpement,B,Taylor & Francis Online,0225-5189,2158-9100,3801,1980
Canadian Journal of Economics / Revue Canadienne D'Economique,B,Wiley-Blackwell Publishing,0008-4085,1540-5982,3801,1968
Canadian Journal of Marketing Research,B,Marketing Research and Intelligence Association,0829-4836,,3506,1980
Canadian Journal of Statistics,B,Wiley-Blackwell Publishing,0319-5724,1708-945X,4905,1973
Canadian Journal of Transportation,B,University of New Brunswick,1715-2127,,3509,2007
Canadian Public Policy / Analyse de Politiques,B,University of Toronto Press,0317-0861,1911-9917,3599,1975
Canadian Tax Journal,B,Canadian Tax Foundation,0008-5111,,4801,1953
Canberra Law Review,B,University of Canberra,1320-6702,,4801,1994
Canterbury Law Review,B,University of Canterbury,0112-0581,,4801,1980
Capital and Class,B,Sage Publications,0309-8168,2041-0980,3899,1970
Capital Markets Law Journal,B,Oxford University Press,1750-7219,1750-7227,4801,2006
Capital Markets Review,B,Malaysian Finance Association and Bursa Malaysia,1823-4445,,3502,1993
Capitalism and Society,B,SSRN,1932-0213,,3801,2006
Career Development and Transition for Exceptional Individuals,B,Sage Publications,0885-7288,1557-5047,3507,1978
Career Development International,B,Emerald Group Publishing,1362-0436,1758-6003,3505,1996
Case Studies on Transport Policy,B,Elsevier,2213-624X,,3509,2013
Cayapa: revista venezolana de economia social,B,Universidad de los Andes,1317-5734,,3801,2001
Central Bank Review,B,Elsevier,1303-0701,1305-8800,3502,2001
Central European Journal of Economic Modelling and Econometrics,B,Central European Journal of Economic Modelling and Econometrics,2080-0886,2080-119X,3802,2009
Central European Journal of Operations Research,B,Springer International Publishing,1435-246X,1613-9178,3509,1993
CESifo Economic Studies,B,Oxford University Press,1610-241X,1612-7501,3801,1955
Charity Law and Practice Review,B,Key Haven Publications,0966-4041,,4801,1993
Chilean Journal of Statistics,B,Chilean Statistical Society,0718-7912,0718-7920,4905,2010
China Accounting and Finance Review,B,Hong Kong Polytechnic University,1029-807X,2307-3055,3501,1999
China Agricultural Economic Review,B,Emerald Group Publishing,1756-137X,1756-1388,3801,2008
China and World Economy,B,Wiley-Blackwell Publishing,1671-2234,1749-124X,3801,1993
China Economic Review,B,Elsevier,1043-951X,1873-7781,3801,1989
China Finance Review International,B,Emerald Group Publishing Limited,2044-1398,2044-1401,3502,2010
China Information,B,Sage Publications,0920-203X,1741-590X,3599,1986
China Journal of Accounting Research,B,Elsevier,1755-3091,2214-1421,3501,2008
China Journal of Accounting Studies,B,Taylor & Francis Online,2169-7213,2169-7221,3501,2013
The China Quarterly,B,Cambridge University Press,0305-7410,1468-2648,3599,1960
Chinese Management Studies,B,Emerald Group Publishing,1750-614X,1750-6158,3507,2007
Chinese Rural Economy,B,Chinese Rural Economy Press,1002-8870,,3801,1985
"Choices: The Magazine of Food, Farm, and Resource Issues",B,American Agricultural Economics Association,0886-5558,,3899,1986
"Ciclos: en la historia, la economia y la sociedad",B,Universidad de Buenos Aires (UBA),0327-4063,1851-3735,3801,1991
Citizenship Studies,B,Taylor & Francis Online,1362-1025,1469-3593,3599,1997
Civil Justice Quarterly,B,Sweet & Maxwell,0261-9261,,4801,1982
Climate and Development,B,Taylor & Francis Online,1756-5529,1756-5537,3899,2009
Climate Change Economics,B,World Scientific Publishing,2010-0078,,3899,2010
Climate Policy,B,Taylor & Francis Online,1469-3062,1752-7457,3507,2001
Cliometrica: journal of historical economics and econometric history,B,Springer International Publishing,1863-2505,1863-2513,3801,2007
Cogent Economics and Finance,B,Taylor & Francis,2332-2039,,3801,2013
Cognitive Psychology,B,Elsevier,0010-0285,1095-5623,3507,1970
Columbia Business Law Review,B,Columbia Business Law Review,0898-0721,1930-7934,4801,1986
Columbia Journal of Asian Law,B,Columbia Law School,1094-8449,2373-0498,4801,1987
Columbia Journal of Law and the Arts,B,Columbia University,1544-4848,,4801,1974
Columbia Journal of Transnational Law,B,Columbia Society of International Law,0010-1931,2159-1814,4801,1961
Columbia Law Review,B,"Columbia Law Review Association, Inc.",0010-1958,1945-2268,4801,1901
Commercial Law Quarterly,B,Commercial Law Association,0819-4262,,4801,1968
Common Law World Review,B,Sage Publications,1473-7795,1740-5556,4801,1972
Common Market Law Review,B,Kluwer Law International,0165-0750,1875-8320,4801,1963
Commonwealth and Comparative Politics,B,Taylor & Francis Online,1466-2043,1743-9094,3599,1961
Communication & Sport,B,Sage Publications,2167-4809,2167-4795,3504,2013
Communication Monographs,B,Taylor & Francis Online,0363-7751,1479-5787,3507,1976
Communication Research,B,Sage Publications,0093-6502,1552-3810,3599,1974
Communication Research and Practice,B,Taylor & Francis Online,2204-1451,2206-3374,3506,2015
Communication Theory,B,Oxford University Press,1050-3293,1468-2885,3599,1991
Communications in Statistics: Theory and Methods,B,Taylor & Francis Online,0361-0926,1532-415X,4905,1971
Communications Law Bulletin,B,Australasian Communications Law Association,0727-1301,,4801,1981
Communications of the ACM,B,Association for Computing Machinery,0001-0782,1557-7317,4609,1958
Communications of the Association for Information Systems,B,Association for Information Systems (AIS),1529-3181,,4609,1999
Community Development Journal,B,Oxford University Press,0010-3802,1468-2656,3507,1949
"Community, Work and Family",B,Taylor & Francis Online,1366-8803,1469-3615,3507,1998
Company and Securities Law Journal,B,Thomson Reuters,0729-2775,,4801,1982
Company Lawyer,B,Sweet & Maxwell,0144-1027,,4801,1980
Comparative Economic Studies,B,Springer International Publishing,0888-7233,1478-3320,3899,1958
Comparative Labor Law and Policy Journal,B,University of Illinois Press,1095-6654,,4801,1967
Comparative Political Studies,B,Sage Publications,0010-4140,1552-3829,3599,1968
Comparative Politics,B,City University of New York,0010-4159,2151-6227,3599,1968
Competition and Change,B,Sage Publications,1024-5294,1477-2221,3505,1995
Competition and Consumer Law Journal,B,LexisNexis,1039-5598,,4801,1993
Competition and Regulation in Network Industries,B,Sage Publications,1783-5917,,3801,2000
Competition Law Journal,B,Edward Elgar Publishing,1476-9085,,4801,2002
Competitiveness Review,B,Emerald Group Publishing,1059-5422,2051-3143,3507,1991
Comptabilité - Contrôle - Audit,B,Association Francophone de Comptabilité FRANCE,1262-2788,2313-514X,3501,1995
Computational Economics,B,Springer International Publishing,0927-7099,1572-9974,3899,1988
Computational Management Science,B,Springer International Publishing,1619-697X,1619-6988,3503,2003
Computational Statistics and Data Analysis,B,Elsevier,0167-9473,1872-7352,4905,1983
Computer and Telecommunications Law Review,B,Sweet & Maxwell,1357-3128,,4801,1995
Computer Law & Security Review,B,Elsevier,0267-3649,1873-6734,4801,1985
Computer Supported Cooperative Work,B,Springer International Publishing,0925-9724,1573-7551,4609,1992
Computers & Industrial Engineering,B,Elsevier,0360-8352,1879-0550,3503,1976
Computers and Operations Research,B,Elsevier,0305-0548,1873-765X,3509,1974
Computers and Security,B,Elsevier,0167-4048,1872-6208,4609,1982
Computers in Human Behavior,B,Elsevier,0747-5632,1873-7692,4609,1985
Conflict Management and Peace Science,B,Sage Publications,0738-8942,1549-9219,3507,1974
Conflict Resolution Quarterly,B,Wiley-Blackwell Publishing,1536-5581,1541-1508,3507,1983
Constitutional Political Economy,B,Springer International Publishing,1043-4062,1572-9966,3801,1990
Construction Economics and Building,B,UTS ePress,1835-6354,2204-9029,3504,2001
Construction Innovation,B,Emerald Group Publishing,1471-4175,1477-0857,3504,2001
Construction Law Journal,B,Sweet & Maxwell,0267-2359,,4801,1984
Construction Management and Economics,B,Taylor & Francis Online,0144-6193,1466-433X,3504,1983
Consumer Behavior in Tourism and Hospitality,B,Emerald Group Publishing,2752-6666,2752-6674,3508,2007
Consumer Finance Law Quarterly Report,B,Conference on Consumer Finance Law,0883-4555,,4801,1946
"Consumption, Markets and Culture",B,Taylor & Francis Online,1025-3866,1477-223X,3506,1997
Contemporary Accounting Research,B,Wiley-Blackwell Publishing,0823-9150,1911-3846,3501,1984
Contemporary Economic Policy,B,Wiley-Blackwell Publishing,1074-3529,1465-7287,3801,1982
Contemporary Economics,B,University of Finance and Management in Warsaw,2084-0845,2300-8814,3899,2007
Contemporary Sociology,B,Sage Publications,0094-3061,1939-8638,3507,1972
Contributions to Political Economy,B,Oxford University Press,0277-5921,1464-3588,3801,1982
Copernican Journal of Finance & Accounting,B,Nicolaus Copernicus University Press,2300-1240,2300-3065,3501,2012
Copyright Society of the USA Journal,B,Society of the USA,0886-3520,,4801,1953
Cornell Hospitality Quarterly,B,Sage Publications,1938-9655,1938-9663,3504,2008
Cornell International Law Journal,B,Cornell Society of International Law,0010-8812,,4801,1967
Cornell Law Review,B,Cornell Law School,0010-8847,,4801,1915
Corporate Board,B,Vanguard Publications,0746-8652,,4801,1980
Corporate Communications,B,Emerald Group Publishing,1356-3289,1758-6046,3506,1996
Corporate Finance Review,B,"RIA Group, Boston",1089-327X,,3502,1997
Corporate Governance and Sustainability Review,B,Virtus Interpress,2519-8971,2519-898X,3501,2017
Corporate Governance International,B,The University of Melbourne,1028-9666,,4801,1998
Corporate Governance,B,Emerald Group Publishing,1472-0701,1758-6054,3507,2001
Corporate Governance: an international review,B,Wiley-Blackwell Publishing,0964-8410,1467-8683,3507,1993
Corporate Ownership and Control,B,Virtus Interpress,1727-9232,1810-3057,3501,1993
Corporate Reputation Review,B,Springer International Publishing,1363-3589,1479-1889,3507,1997
Corporate Social Responsibility and Environmental Management,B,Wiley-Blackwell Publishing,1535-3958,1535-3966,3507,1994
Corporate Taxation,B,"Warren, Gorham & Lamont, Inc.: Thomson Reuters",1534-715X,,4801,1973
Cost Effectiveness and Resource Allocation,B,BioMed Central,,1478-7547,3801,2003
Cost Management,B,"Warren Gorham & Lamont, Inc.  - Thomson Financial Publishing",1092-8057,,3501,1987
Creativity and Innovation Management,B,Wiley-Blackwell Publishing,0963-1690,1467-8691,3507,1992
Credit and Capital Markets,B,Duncker & Humblot Gmbh,2199-1227,2199-1235,3803,1968
"Crime, Law and Social Change",B,Springer International Publishing,0925-4994,1573-0751,4801,1977
